Jun 06 09:02::39 Opponent CHAT_OP  
Jun 06 09:02::44 Opponent CHAT_OP  
Jun 06 09:02::46 Opponent CHAT_OP  
Jun 06 09:02::47 sender READY_OP  b
Jun 06 09:02::47 Opponent READY_OP  b
Jun 06 09:02::49 Opponent READY_OP  w
Jun 06 09:07::27 Opponent CHAT_OP  
Jun 06 09:07::27 sender READY_OP  b
Jun 06 09:07::27 Opponent READY_OP  b
Jun 06 09:07::29 Opponent READY_OP  w
Jun 06 09:12::31 Opponent CHAT_OP  
Jun 06 09:12::31 sender READY_OP  b
Jun 06 09:12::31 Opponent READY_OP  b
Jun 06 09:12::35 Opponent READY_OP  w
Jun 06 09:13::49 Opponent CHAT_OP  
Jun 06 09:13::50 sender READY_OP  b
Jun 06 09:13::50 Opponent READY_OP  b
Jun 06 09:13::50 Opponent READY_OP  w
Jun 06 09:13::51 Opponent READY_OP  w
Jun 06 09:14::56 Opponent CHAT_OP  
Jun 06 09:15::01 sender READY_OP  b
Jun 06 09:15::01 Opponent READY_OP  b
Jun 06 09:15::02 Opponent READY_OP  w
Jun 06 09:19::24 Opponent CHAT_OP  
Jun 06 09:19::25 sender READY_OP  b
Jun 06 09:19::25 Opponent READY_OP  b
Jun 06 09:19::27 Opponent READY_OP  w
Jun 06 09:19::34 sender MOVE_OP I5 1686014374721
Jun 06 09:19::37 sender MOVE_OP F7 1686014377202
Jun 06 09:19::34 Opponent MOVE_OP I5 1686014374721
Jun 06 09:19::39 sender MOVE_OP F1 1686014379643
Jun 06 09:19::37 Opponent MOVE_OP F7 1686014377202
Jun 06 09:19::42 sender MOVE_OP I3 1686014382020
Jun 06 09:19::39 Opponent MOVE_OP F1 1686014379643
Jun 06 09:19::44 sender MOVE_OP C1 1686014384201
Jun 06 09:19::42 Opponent MOVE_OP I3 1686014382020
Jun 06 09:19::46 sender MOVE_OP C6 1686014386374
Jun 06 09:19::44 Opponent MOVE_OP C1 1686014384201
Jun 06 09:20::11 Opponent CHAT_OP  
Jun 06 09:20::11 sender READY_OP  b
Jun 06 09:20::11 Opponent READY_OP  b
Jun 06 09:20::13 Opponent READY_OP  w
Jun 06 09:20::23 sender MOVE_OP E7 1686014423378
Jun 06 09:20::25 sender MOVE_OP D2 1686014425874
Jun 06 09:20::23 Opponent MOVE_OP E7 1686014423378
Jun 06 09:20::28 sender MOVE_OP A6 1686014428413
Jun 06 09:20::25 Opponent MOVE_OP D2 1686014425874
Jun 06 09:20::31 sender MOVE_OP G4 1686014431022
